"PC1","PC2","Cluster"
4.03638974300129,5.38379123103478,"1"
0.785983333935444,-0.642895996222227,"2"
-0.12477014336414,-0.210464089902762,"2"
0.225416848929348,-0.692302756653253,"2"
-1.22219769486161,1.82675613338599,"1"
0.24015665651705,-0.489749881174843,"2"
-0.845936065261868,0.851817127636606,"1"
-0.734669605287431,1.19009278187647,"1"
-0.835269971708016,0.966544446446762,"1"
0.241939360869131,-0.619294901321767,"2"
0.644585642821081,-0.317554870686125,"2"
0.0967612023522156,-0.912212692614228,"2"
0.897466035331589,-0.00542965968585077,"2"
0.313815070894943,-0.306180764842325,"2"
-1.15948672431563,1.60896427885466,"1"
1.08959626398715,-0.53001289462192,"2"
-0.373628350947363,0.0348974528407084,"2"
0.273990216430657,-0.802315706599027,"2"
-1.10935929464835,1.6740141285257,"1"
-0.0073446996337686,-0.938220152804773,"2"
0.489758704150828,-0.24707015025824,"2"
0.0999074973782781,-0.46022493905981,"2"
-0.0826172033109767,-0.252635812769728,"2"
-1.23333997651194,1.83592282633777,"1"
0.0110252471782113,-0.706751905821165,"2"
0.00478337918913625,-0.864539213524283,"2"
-0.978125554365859,1.97453557667413,"1"
0.355221530119382,0.515838072584354,"2"
-0.18955915174523,-0.190799742008874,"2"
0.370991841517342,-0.599507967970893,"2"
0.329555424733533,-0.804926820116864,"2"
-0.367637007752623,0.825348312778824,"1"
-0.0307670282646243,-0.688685472123239,"2"
-1.34810682291373,2.06869760319992,"1"
0.387850252601518,-0.654378996336222,"2"
-0.225862848157445,-0.228061279967891,"2"
0.201391282459801,-0.703851927378903,"2"
-0.0314009128592106,-0.223252740747692,"2"
-0.125112993659701,-0.342940657352202,"2"
0.551177212918047,-0.566905155118249,"2"
0.355662648564441,-0.470559373543369,"2"
0.14208643059686,-0.446091599213712,"2"
-0.27044392140636,0.175566123553891,"2"
-1.24640119087795,1.74444818204696,"1"
-1.3004138417469,1.93517853327178,"1"
-0.190582268877369,-0.524101897057155,"2"
-0.361535072524896,0.461223217466382,"1"
0.419392060703445,-0.561895634973251,"2"
0.107632618321308,-0.412761644936712,"2"
0.340790213262579,-0.492865123292488,"2"
0.736691236290693,0.290105511424852,"2"
-1.16379767645273,1.83354309431158,"1"
-0.0739940598939955,-0.221361772022205,"2"
-0.141166322157725,-0.331011332436472,"2"
-0.825586632458115,1.00148925174076,"1"
10.6626715397957,5.33971348151066,"3"
0.764608436229018,-0.655550982523996,"2"
-0.345622358916161,0.0750158104915648,"2"
-0.166114798996689,-0.371750012483931,"2"
0.0898628205931645,-0.782428107951541,"2"
-0.252820334069451,-0.0676461285019985,"2"
0.456611715290977,-0.810870752707231,"2"
-0.483991822019797,0.57024422255732,"1"
-0.192965134605593,-0.226895362732004,"2"
-0.696279371372364,0.805377959857892,"1"
0.0261353251537512,-0.738027892150015,"2"
1.27085948299694,-0.186474631769826,"2"
0.472080698697558,-0.669120650516002,"2"
-0.160022471885973,-0.582847236381311,"2"
0.957037872998986,-0.207622733612064,"2"
0.460329228154628,-0.30344393963123,"2"
2.11681600518728,-0.0756442714754667,"2"
-0.175536447595494,-0.159313368639028,"2"
0.294090738431742,0.100204854114224,"2"
-0.355984306470489,-0.0629179078935665,"2"
0.883442065371504,-0.608914304574235,"2"
0.395088205896718,-0.659599728043748,"2"
-1.47933476242498,2.32083494326671,"1"
-0.000570282438758174,-0.945414246374592,"2"
0.739501064531049,-0.444475404170979,"2"
-0.102967735320836,-0.783835883450665,"2"
-0.0317550537358729,-0.388280751752846,"2"
